coach,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L%,Rank,Num,Won,Notes
Mike Holmgren,1992,44,GNB,NFL,16,9,7,0,.563,-1.6,-2.6,1.0,,,,,2,,,
Mike Holmgren,1993,45,GNB,NFL,16,9,7,0,.563,3.2,2.7,0.5,2,1,1,.500,3,,,
Mike Holmgren,1994,46,GNB,NFL,16,9,7,0,.563,6.0,3.8,2.2,2,1,1,.500,2,,,
Mike Holmgren,1995,47,GNB,NFL,16,11,5,0,.688,6.0,3.5,2.5,3,2,1,.667,1,,,
Mike Holmgren,1996,48,GNB,NFL,16,13,3,0,.813,15.3,8.7,6.6,3,3,0,1.000,1,,,Super Bowl Champions
Mike Holmgren,1997,49,GNB,NFL,16,13,3,0,.813,7.7,5.3,2.4,3,2,1,.667,1,,,NFC Champions
Mike Holmgren,1998,50,GNB,NFL,16,11,5,0,.688,5.0,4.3,0.7,1,0,1,.000,2,,,
Mike Holmgren,1999,51,SEA,NFL,16,9,7,0,.563,4.5,1.9,2.6,1,0,1,.000,1,3,0,
Mike Holmgren,2000,52,SEA,NFL,16,6,10,0,.375,-3.7,-1.4,-2.3,,,,,4,5,2,
Mike Holmgren,2001,53,SEA,NFL,16,9,7,0,.563,-1.9,-1.4,-0.4,,,,,2,5,0,
Mike Holmgren,2002,54,SEA,NFL,16,7,9,0,.438,-1.3,0.0,-1.2,,,,,3,5,0,
Mike Holmgren,2003,55,SEA,NFL,16,10,6,0,.625,4.1,3.6,0.5,1,0,1,.000,2,5,1,
Mike Holmgren,2004,56,SEA,NFL,16,9,7,0,.563,-2.9,0.4,-3.3,1,0,1,.000,1,6,1,
Mike Holmgren,2005,57,SEA,NFL,16,13,3,0,.813,9.1,5.8,3.4,3,2,1,.667,1,4,2,NFC Champions
Mike Holmgren,2006,58,SEA,NFL,16,9,7,0,.563,-3.6,-1.7,-1.9,2,1,1,.500,1,6,2,
Mike Holmgren,2007,59,SEA,NFL,16,10,6,0,.625,1.8,0.8,0.9,2,1,1,.500,1,6,5,
Mike Holmgren,2008,60,SEA,NFL,16,4,12,0,.250,-7.6,-4.9,-2.8,,,,,3,5,1,